episode,num_iters,sum_rewards,curr_eps,time
1,1369,-20,0.998769,53.368380
2,1324,-19,0.997577,108.688119
3,1341,-21,0.996370,163.886505
4,1258,-21,0.995238,217.985185
5,1426,-19,0.993955,280.048498
6,1335,-19,0.992753,334.939753
7,1216,-21,0.991659,380.794789
8,1221,-21,0.990560,433.605372
9,1307,-21,0.989384,493.408180
10,1130,-21,0.988367,545.135621
11,1156,-21,0.987326,595.465751
12,1204,-20,0.986243,648.902907
13,1450,-20,0.984938,714.425312
14,1249,-21,0.983814,769.150623
15,1506,-18,0.982458,834.213956
16,1202,-20,0.981376,883.103079
17,1111,-21,0.980376,930.380776
18,1251,-21,0.979251,986.897367
19,1111,-20,0.978251,1032.794875
20,1290,-21,0.977090,1088.495900
21,1387,-20,0.975841,1147.547599
22,1292,-21,0.974679,1201.008505
23,1387,-20,0.973430,1260.487910
24,1174,-20,0.972374,1308.721233
25,1131,-20,0.971356,1354.976161
26,1232,-21,0.970247,1403.894056
27,1330,-19,0.969050,1462.525350
28,1115,-21,0.968046,1509.338214
29,1223,-20,0.966946,1561.196952
30,1059,-21,0.965993,1606.804480
31,1161,-20,0.964948,1659.551905
32,1105,-21,0.963953,1708.759679
33,1309,-20,0.962775,1766.896472
34,1410,-19,0.961506,1830.744813
35,1030,-21,0.960579,1877.177833
36,1261,-19,0.959444,1932.508764
37,1204,-20,0.958361,1984.685955
38,1150,-20,0.957326,2034.683157
39,1264,-21,0.956188,2093.592416
40,1249,-21,0.955064,2149.868562
41,1358,-19,0.953842,2213.184398
42,1129,-21,0.952826,2263.442575
43,1228,-21,0.951720,2319.212002
44,1207,-20,0.950634,2374.561341
45,1142,-21,0.949606,2421.604691
46,1145,-21,0.948576,2467.596642
47,1480,-19,0.947244,2530.306885
48,1204,-21,0.946160,2581.341646
49,1183,-21,0.945095,2636.164472
50,1289,-20,0.943935,2692.750679
51,1121,-20,0.942927,2740.399897
52,1223,-20,0.941826,2791.724188
53,1319,-19,0.940639,2850.854564
54,1099,-21,0.939650,2900.354132
55,1092,-21,0.938667,2945.633090
56,1177,-20,0.937608,2991.959448
57,1397,-20,0.936350,3048.969669
58,1257,-19,0.935219,3105.439006
59,1243,-20,0.934100,3157.608313
60,1119,-20,0.933093,3205.388349
61,1102,-21,0.932101,3249.754897
62,1165,-20,0.931053,3299.598977
63,1203,-21,0.929970,3349.508862
64,1390,-19,0.928719,3406.681192
65,1214,-20,0.927627,3462.453654
66,1220,-21,0.926528,3522.269454
67,1502,-19,0.925177,3586.387605
68,1355,-20,0.923957,3643.564953
69,1128,-20,0.922942,3690.402850
70,1461,-21,0.921627,3751.265229
71,1127,-20,0.920613,3798.388984
72,1250,-19,0.919488,3849.561279
73,1272,-20,0.918343,3901.646605
74,1128,-21,0.917328,3947.067298
75,1093,-21,0.916344,3991.926933
76,1344,-20,0.915134,4047.322466
77,1201,-20,0.914054,4099.004543
78,1050,-21,0.913109,4143.864371
79,1428,-19,0.911823,4205.488049
80,1187,-21,0.910755,4256.116481
81,1128,-21,0.909740,4302.318441
82,1128,-20,0.908725,4349.411635
83,1203,-20,0.907642,4405.303300
84,1062,-21,0.906686,4454.104059
85,1126,-20,0.905673,4507.093290
86,1197,-20,0.904595,4559.662712
87,1120,-21,0.903587,4607.466492
88,1165,-20,0.902539,4661.211225
89,1145,-20,0.901509,4711.624064
90,1274,-20,0.900362,4766.670574
91,1211,-21,0.899272,4816.926661
92,1256,-20,0.898142,4871.206790
93,1045,-21,0.897201,4916.561082
94,1277,-21,0.896052,4970.365223
95,1320,-21,0.894864,5028.555384
96,1098,-21,0.893876,5075.572390
97,1102,-20,0.892884,5120.300754
98,1140,-21,0.891858,5171.496572
99,1054,-21,0.890909,5218.614598
100,1149,-21,0.889875,5269.339815
101,1323,-19,0.888684,5326.620295
102,1104,-21,0.887691,5377.038817
103,1360,-20,0.886467,5440.968119
104,1126,-20,0.885453,5493.008662
105,1107,-20,0.884457,5537.310486
106,1132,-20,0.883438,5588.377009
107,1118,-20,0.882432,5642.075136
108,1054,-21,0.881483,5692.532311
109,1258,-19,0.880351,5751.237334
