episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1122,0.020357,-21,0.998991,13426,153.952105
2,1200,0.019018,-20,0.997911,30090,336.382470
3,1296,0.018296,-19,0.996745,46147,515.770902
4,1328,0.016961,-20,0.995549,65434,730.315895
5,1038,0.020595,-21,0.994615,81731,910.288604
6,1176,0.018955,-20,0.993557,98334,1094.606768
7,1278,0.017463,-20,0.992407,116223,1293.553564
8,1237,0.018949,-19,0.991293,134126,1486.670666
9,1509,0.016036,-18,0.989935,153359,1705.800731
10,1447,0.015231,-20,0.988633,172546,1922.238182
11,1047,0.020158,-21,0.987691,185436,2065.705094
12,1175,0.017877,-21,0.986633,200195,2233.834125
13,1116,0.019735,-20,0.985629,211817,2366.390421
14,1239,0.016956,-21,0.984514,224731,2512.884162
15,1226,0.018007,-20,0.983410,237312,2652.583357
16,1137,0.019296,-20,0.982387,251866,2823.900421
17,1323,0.016725,-20,0.981196,267760,3005.629760
18,1238,0.017077,-21,0.980082,283427,3187.226997
19,1096,0.019124,-21,0.979096,296619,3336.858826
20,1373,0.016050,-20,0.977860,316201,3559.926098
21,1113,0.018808,-21,0.976858,331331,3734.259614
22,1325,0.017272,-19,0.975666,349244,3938.283515
23,1309,0.016783,-20,0.974488,367113,4142.721448
24,1214,0.018069,-20,0.973395,384054,4348.770841
25,1110,0.018941,-21,0.972396,397837,4514.250581
26,1211,0.017391,-21,0.971306,411323,4678.375422
27,1142,0.018271,-21,0.970278,425252,4853.028825
28,1018,0.020429,-21,0.969362,438481,5016.779293
29,1302,0.016823,-20,0.968190,456799,5247.157466
30,1203,0.018065,-20,0.967108,471092,5431.697664
31,1516,0.015125,-19,0.965743,488961,5666.049601
32,1290,0.016872,-20,0.964582,506723,5896.623787
33,1271,0.017135,-20,0.963438,519878,6070.071321
34,1096,0.018944,-21,0.962452,533461,6249.072204
35,1577,0.014416,-19,0.961033,552060,6491.736717
36,1094,0.018792,-21,0.960048,565121,6669.787365
37,1349,0.016202,-20,0.958834,579509,6862.038217
38,1112,0.018454,-21,0.957833,592653,7036.476216
39,1135,0.017886,-21,0.956812,603996,7186.834555
40,1512,0.016392,-17,0.955451,622502,7432.909678
41,1352,0.015315,-21,0.954234,638545,7649.874630
42,1332,0.016357,-20,0.953035,654891,7868.243358
43,1329,0.017151,-19,0.951839,669170,8059.793269
44,1409,0.015361,-20,0.950571,685154,8269.366939
45,1070,0.018847,-21,0.949608,698035,8450.511327
46,1419,0.014699,-21,0.948331,711768,8634.916708
47,1311,0.016489,-20,0.947151,726657,8839.431358
48,1164,0.017549,-21,0.946103,741118,9035.433299
49,1435,0.015148,-20,0.944812,757758,9262.061688
50,1200,0.017101,-21,0.943732,771876,9451.826562
51,1058,0.019381,-21,0.942780,784110,9619.119694
52,1255,0.016986,-20,0.941650,799064,9819.711225
53,1180,0.017125,-21,0.940588,812644,10000.238990
54,1287,0.016607,-20,0.939430,828367,10213.752640
55,1237,0.017275,-20,0.938317,844691,10438.853867
