episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1423,0.015662,-21,0.998592,18476,207.301522
2,1256,0.017873,-20,0.997349,36121,403.999340
3,1184,0.018674,-20,0.996177,52023,580.191638
4,1366,0.016871,-19,0.994824,71137,792.988574
5,1190,0.018578,-20,0.993646,86373,960.751417
6,1387,0.015977,-20,0.992273,102677,1141.999706
7,1437,0.016747,-18,0.990850,120175,1336.454340
8,1161,0.018947,-20,0.989701,133685,1481.203049
9,1426,0.016182,-19,0.988289,152514,1695.392410
10,1210,0.017272,-21,0.987091,166303,1850.839758
11,1316,0.016739,-20,0.985789,181366,2019.727057
12,1136,0.019304,-20,0.984664,192528,2145.831602
13,1080,0.019384,-21,0.983595,203128,2267.195686
14,1293,0.016992,-20,0.982315,218509,2441.289558
15,1356,0.016974,-19,0.980972,235786,2634.223393
16,1142,0.018336,-21,0.979842,248458,2781.081637
17,1017,0.020430,-21,0.978835,259870,2915.711808
18,1419,0.015432,-20,0.977430,277985,3123.353657
19,1124,0.018472,-21,0.976317,289978,3260.750763
20,1123,0.019550,-20,0.975205,301069,3386.202301
21,1417,0.016178,-19,0.973803,318231,3582.790834
22,1167,0.018777,-20,0.972647,334060,3764.514768
23,1177,0.017721,-21,0.971482,349859,3944.503152
24,1335,0.015689,-21,0.970160,366967,4140.133151
25,1280,0.017130,-20,0.968893,382773,4332.130905
26,1334,0.016388,-20,0.967573,402209,4566.045697
27,1142,0.018262,-21,0.966442,417986,4761.059678
28,1277,0.017116,-20,0.965178,433926,4958.738839
29,1438,0.016003,-19,0.963754,450533,5167.821412
30,1021,0.020343,-21,0.962743,462675,5320.929704
31,1011,0.020506,-21,0.961742,473282,5459.674875
32,1359,0.015362,-21,0.960397,489294,5669.672422
33,1200,0.018301,-20,0.959209,504282,5863.586224
34,1009,0.020625,-21,0.958210,515551,6012.448637
35,1191,0.018355,-20,0.957031,529373,6195.052754
36,1295,0.016086,-21,0.955749,545269,6402.470647
37,1259,0.016526,-21,0.954503,559574,6592.826974
38,1228,0.016933,-21,0.953287,574581,6795.146293
39,1024,0.020285,-21,0.952273,587288,6963.910806
40,1017,0.020386,-21,0.951266,600000,7132.917650
41,1390,0.015628,-20,0.949890,615769,7339.623896
42,1138,0.018247,-21,0.948764,629140,7521.977096
43,1106,0.019765,-20,0.947669,642819,7705.170945
44,1121,0.018540,-21,0.946559,656575,7890.402275
45,1225,0.017802,-20,0.945346,670644,8078.049696
46,1386,0.015808,-20,0.943974,688585,8316.140868
47,1514,0.015804,-18,0.942475,708275,8586.188799
48,1021,0.020342,-21,0.941464,721465,8766.592969
49,1082,0.019279,-21,0.940393,734708,8947.056126
50,1259,0.016606,-21,0.939147,750138,9157.244623
51,1461,0.015700,-19,0.937700,768595,9406.383397
52,1364,0.016029,-20,0.936350,785443,9636.886593
53,1011,0.020577,-21,0.935349,798501,9811.341881
54,1142,0.018129,-21,0.934218,813633,10011.972024
55,1219,0.017080,-21,0.933012,829381,10226.691075
56,1283,0.017050,-20,0.931741,845311,10446.800012
57,1015,0.020441,-21,0.930737,857877,10623.038449
58,1098,0.019027,-21,0.929650,871298,10811.072099
59,1171,0.017735,-21,0.928490,885573,11010.503332
60,1014,0.020477,-21,0.927486,899141,11196.030838
61,1547,0.016135,-17,0.925955,918554,11451.503276
62,1292,0.017648,-19,0.924676,935462,11683.949139
63,1127,0.019388,-20,0.923560,950349,11886.648222
64,1290,0.016932,-20,0.922283,965345,12090.944862
65,1026,0.020228,-21,0.921267,978493,12267.835435
66,1192,0.018294,-20,0.920087,992879,12462.695182
67,1090,0.019032,-21,0.919008,1005975,12642.156427
68,1388,0.016479,-19,0.917634,1023727,12879.046529
69,1251,0.018284,-19,0.916395,1038465,13081.956090
70,1089,0.019009,-21,0.915317,1052046,13269.841207
71,1014,0.020420,-21,0.914314,1063900,13429.759344
72,1189,0.017436,-21,0.913136,1078366,13623.224592
73,1026,0.020102,-21,0.912121,1091260,13795.019844
74,1062,0.019586,-21,0.911069,1104465,13978.012983
75,1602,0.014302,-19,0.909483,1122937,14228.806697
76,1195,0.017398,-21,0.908300,1137665,14429.399499
77,1141,0.018159,-21,0.907171,1152169,14625.602880
78,1212,0.017105,-21,0.905971,1167281,14836.032084
79,1042,0.019909,-21,0.904939,1180040,15012.499299
80,1107,0.019700,-20,0.903843,1194588,15213.249979
81,1251,0.017463,-20,0.902605,1210308,15430.048443
82,1371,0.015935,-20,0.901247,1227088,15661.224590
83,996,0.020847,-21,0.900261,1238600,15817.957015
84,1394,0.016451,-19,0.898881,1255712,16051.675128
85,1257,0.017326,-20,0.897637,1271753,16274.570506
86,1096,0.019871,-20,0.896552,1284851,16456.789358
87,1204,0.017260,-21,0.895360,1298037,16638.945588
88,1199,0.017300,-21,0.894173,1312841,16843.975519
89,1511,0.015119,-19,0.892677,1330320,17083.910926
90,1380,0.016620,-19,0.891311,1346360,17305.912871
91,1200,0.017335,-21,0.890123,1359679,17486.805701
92,1051,0.019740,-21,0.889082,1371644,17652.003931
93,1342,0.017047,-19,0.887754,1387425,17863.884400
94,1295,0.016126,-21,0.886472,1402936,18076.113448
95,1099,0.018927,-21,0.885384,1417112,18274.724197
96,1409,0.016282,-19,0.883989,1435263,18527.485464
97,1117,0.019492,-20,0.882883,1449225,18716.367031
98,1427,0.016058,-19,0.881470,1466596,18957.123257
99,1541,0.014855,-19,0.879945,1485001,19210.543149
100,1416,0.016159,-19,0.878543,1503134,19454.668317
101,1237,0.017652,-20,0.877318,1517653,19654.480499
102,1284,0.016208,-21,0.876047,1533657,19876.898049
103,1334,0.017120,-19,0.874726,1550304,20104.650138
104,1280,0.017026,-20,0.873459,1567022,20331.131429
105,1428,0.015997,-19,0.872045,1586378,20591.745384
106,1183,0.017538,-21,0.870874,1600990,20790.259546
107,1441,0.015150,-20,0.869448,1619638,21043.066093
108,1092,0.018964,-21,0.868367,1632778,21221.486411
109,1382,0.015834,-20,0.866998,1649700,21455.403697
110,1096,0.018938,-21,0.865913,1663408,21644.406932
111,1088,0.018968,-21,0.864836,1676823,21826.091992
112,1164,0.018693,-20,0.863684,1691080,22022.271131
113,1186,0.017524,-21,0.862510,1706008,22226.611194
114,1020,0.020272,-21,0.861500,1718514,22399.359428
115,1117,0.019414,-20,0.860394,1732412,22588.464781
116,1221,0.017066,-21,0.859185,1748709,22811.196650
117,1365,0.015977,-20,0.857834,1764673,23030.384515
118,1183,0.017569,-21,0.856663,1779017,23222.952752
119,1140,0.018270,-21,0.855534,1793690,23424.006411
120,1033,0.019807,-21,0.854512,1806846,23604.695621
121,1111,0.018607,-21,0.853412,1819879,23784.229650
122,1184,0.017534,-21,0.852240,1833835,23977.958632
123,1352,0.016882,-19,0.850901,1851509,24217.163412
124,1121,0.019438,-20,0.849791,1866734,24423.030067
125,1095,0.018965,-21,0.848707,1880171,24605.563005
126,1217,0.017072,-21,0.847502,1895925,24818.381020
127,1228,0.018552,-19,0.846287,1911990,25037.812906
128,1271,0.016390,-21,0.845028,1927710,25254.871738
129,1291,0.017618,-19,0.843750,1944520,25482.431193
130,1254,0.016593,-21,0.842509,1960220,25700.608730
131,1440,0.016587,-18,0.841083,1976751,25930.160489
132,1105,0.018718,-21,0.839989,1990033,26113.292443
133,1133,0.019218,-20,0.838868,2003598,26302.510223
134,1083,0.019149,-21,0.837795,2017325,26496.839044
135,1101,0.018868,-21,0.836705,2031244,26689.915824
136,1201,0.018123,-20,0.835516,2046451,26898.138669
137,1252,0.017397,-20,0.834277,2062823,27122.261001
138,1220,0.017798,-20,0.833069,2078162,27330.662726
139,1202,0.017266,-21,0.831879,2093000,27533.133076
140,1164,0.017789,-21,0.830727,2108016,27741.113717
141,1149,0.018095,-21,0.829589,2122363,27935.565994
142,1019,0.020299,-21,0.828581,2135126,28111.140074
143,1183,0.017495,-21,0.827409,2149197,28302.087318
144,1443,0.015873,-19,0.825981,2168383,28562.265652
145,1024,0.020171,-21,0.824967,2181514,28745.684842
146,1472,0.016253,-18,0.823510,2199856,28998.365168
147,1024,0.020204,-21,0.822496,2213352,29180.682429
148,1394,0.015612,-20,0.821116,2230881,29416.212212
149,1041,0.019920,-21,0.820085,2244669,29605.095509
150,1559,0.014714,-19,0.818542,2263494,29862.696798
151,1123,0.019400,-20,0.817430,2277177,30052.146171
152,1186,0.017439,-21,0.816256,2292511,30262.292906
153,1329,0.016482,-20,0.814940,2308480,30483.382185
154,1242,0.017537,-20,0.813711,2324460,30698.258750
155,1008,0.020518,-21,0.812713,2337220,30873.770850
156,1173,0.017753,-21,0.811552,2352378,31080.568119
157,1509,0.015106,-19,0.810058,2372022,31350.040119
158,1189,0.017481,-21,0.808881,2386579,31552.267867
159,1121,0.019532,-20,0.807771,2401157,31753.881336
160,1051,0.019749,-21,0.806730,2415382,31948.348279
161,1393,0.015617,-20,0.805351,2433413,32196.275938
162,1131,0.018326,-21,0.804231,2446744,32381.845284
163,1231,0.017657,-20,0.803013,2462455,32595.675230
164,1181,0.017614,-21,0.801844,2477617,32799.537658
165,1164,0.018695,-20,0.800691,2491887,32997.525332
166,1189,0.018285,-20,0.799514,2506641,33197.378665
167,1268,0.017980,-19,0.798259,2523256,33421.166859
168,1266,0.017074,-20,0.797005,2538981,33631.623328
169,1333,0.015669,-21,0.795686,2555659,33860.916682
170,1218,0.017812,-20,0.794480,2571044,34068.751278
171,1292,0.017652,-19,0.793201,2588108,34301.800607
172,1418,0.015244,-20,0.791797,2606700,34559.290471
173,1180,0.017531,-21,0.790629,2621390,34757.406807
174,1364,0.015899,-20,0.789278,2637535,34975.606992
175,1284,0.017671,-19,0.788007,2654660,35205.890185
176,1130,0.018265,-21,0.786889,2667483,35382.968575
177,1234,0.018418,-19,0.785667,2683360,35604.568395
178,1136,0.018153,-21,0.784542,2697198,35791.850401
179,1117,0.019296,-20,0.783437,2712752,36002.058493
180,1081,0.018757,-21,0.782366,2726749,36188.143676
