episode,loss,reward,eps
1,0.013300,-21,0.998957
2,0.018477,-20,0.997912
3,0.018166,-21,0.996765
4,0.017857,-20,0.995684
5,0.016950,-21,0.994767
6,0.017589,-21,0.993696
7,0.015930,-20,0.992375
8,0.016158,-20,0.991220
9,0.015180,-21,0.990093
10,0.015218,-21,0.988989
11,0.013703,-19,0.987838
12,0.012371,-19,0.986650
13,0.011934,-20,0.985569
14,0.011477,-20,0.984488
15,0.011307,-19,0.983244
16,0.010809,-20,0.982018
17,0.010498,-21,0.981098
18,0.009528,-21,0.980194
19,0.010070,-20,0.979033
20,0.009986,-20,0.977995
21,0.009599,-20,0.976833
22,0.009200,-21,0.975876
23,0.009049,-21,0.974686
24,0.009079,-21,0.973667
25,0.009570,-20,0.972429
26,0.009597,-21,0.971418
27,0.008523,-19,0.970187
28,0.008688,-20,0.969112
29,0.008640,-19,0.967908
30,0.009080,-21,0.966915
31,0.008724,-21,0.965912
32,0.008598,-20,0.964733
33,0.008668,-20,0.963516
34,0.008651,-18,0.962249
35,0.008984,-20,0.961051
36,0.008603,-21,0.960097
37,0.008599,-20,0.958804
38,0.008080,-21,0.957821
39,0.007689,-21,0.956733
40,0.008222,-20,0.955567
41,0.008013,-21,0.954543
42,0.008701,-20,0.953500
43,0.008321,-19,0.952219
44,0.008119,-20,0.951131
45,0.007668,-19,0.949603
46,0.008586,-21,0.948624
47,0.007982,-19,0.947278
48,0.008200,-21,0.946293
49,0.008453,-21,0.945186
50,0.008414,-21,0.944229
51,0.007917,-21,0.943053
52,0.008175,-20,0.941821
53,0.007793,-21,0.940612
54,0.008242,-20,0.939331
55,0.007333,-21,0.938193
56,0.007526,-21,0.937220
57,0.007927,-19,0.935877
58,0.008033,-21,0.934693
59,0.008023,-20,0.933598
60,0.007065,-20,0.932591
61,0.007228,-21,0.931533
62,0.007228,-19,0.930096
63,0.007338,-21,0.929175
64,0.007692,-21,0.928185
65,0.008042,-21,0.927193
66,0.007972,-21,0.925981
67,0.007305,-20,0.924890
68,0.007418,-20,0.923577
69,0.007246,-20,0.922564
70,0.007388,-20,0.921461
71,0.007569,-18,0.920216
72,0.007059,-21,0.919159
73,0.008345,-20,0.918069
74,0.007751,-21,0.916998
75,0.007751,-21,0.916056
76,0.007278,-21,0.914977
77,0.007476,-20,0.913861
78,0.007069,-21,0.912808
79,0.007839,-20,0.911805
80,0.006716,-20,0.910645
81,0.007658,-20,0.909537
82,0.007726,-21,0.908534
83,0.007292,-18,0.907232
84,0.007661,-21,0.906194
85,0.007511,-20,0.904973
86,0.007366,-21,0.903827
87,0.007262,-20,0.902582
88,0.007415,-19,0.901159
89,0.007447,-20,0.900144
90,0.007743,-19,0.898969
91,0.007153,-19,0.897742
92,0.007361,-21,0.896632
93,0.007140,-21,0.895397
94,0.006878,-20,0.894266
95,0.007303,-18,0.892947
96,0.006883,-20,0.891933
97,0.007711,-21,0.890988
98,0.007303,-21,0.889961
99,0.006774,-20,0.888736
100,0.006661,-21,0.887783
101,0.007046,-20,0.886523
102,0.007251,-20,0.885408
103,0.007305,-21,0.884479
104,0.006962,-21,0.883485
105,0.007340,-20,0.882480
106,0.007029,-21,0.881486
107,0.006727,-20,0.880343
108,0.007109,-20,0.879239
109,0.007323,-20,0.878089
110,0.007460,-20,0.876831
111,0.006720,-19,0.875694
112,0.006795,-21,0.874742
113,0.007137,-21,0.873633
114,0.006648,-19,0.872244
115,0.007209,-18,0.870893
116,0.007060,-20,0.869729
117,0.006584,-20,0.868605
118,0.006789,-20,0.867508
119,0.007004,-21,0.866513
120,0.006766,-21,0.865494
121,0.007245,-21,0.864500
122,0.006941,-21,0.863411
123,0.006870,-20,0.862340
124,0.007258,-20,0.861157
125,0.006647,-21,0.860095
126,0.006638,-20,0.859061
127,0.007008,-19,0.857673
128,0.006822,-20,0.856536
129,0.006423,-19,0.855222
130,0.006266,-21,0.854196
131,0.007153,-18,0.852718
132,0.006541,-21,0.851607
133,0.006763,-21,0.850604
134,0.006465,-21,0.849618
135,0.006977,-20,0.848494
136,0.006638,-21,0.847532
137,0.006493,-21,0.846305
138,0.006855,-21,0.845213
139,0.006957,-21,0.844001
140,0.006564,-21,0.842936
141,0.006933,-20,0.841752
142,0.006877,-20,0.840501
143,0.006544,-20,0.839348
144,0.006714,-21,0.838373
145,0.006839,-21,0.837247
146,0.006747,-21,0.836125
147,0.007025,-20,0.834907
148,0.006793,-21,0.833916
149,0.006440,-21,0.832844
150,0.006694,-21,0.831786
151,0.006583,-20,0.830700
152,0.006554,-21,0.829688
153,0.006860,-21,0.828593
154,0.006768,-19,0.827221
155,0.006121,-21,0.826131
156,0.006633,-20,0.824832
157,0.006463,-21,0.823784
158,0.006716,-20,0.822534
159,0.006331,-18,0.821257
160,0.006904,-21,0.820172
161,0.006406,-20,0.819131
162,0.006704,-19,0.817754
163,0.006795,-20,0.816659
164,0.006609,-20,0.815332
165,0.006900,-18,0.813929
166,0.006495,-17,0.812425
167,0.006181,-18,0.811101
168,0.007077,-20,0.809847
169,0.006690,-18,0.808336
170,0.006967,-21,0.807286
171,0.006686,-20,0.806082
172,0.006517,-19,0.804764
173,0.006438,-21,0.803665
174,0.006087,-20,0.802372
175,0.006830,-20,0.801140
176,0.006407,-21,0.800082
177,0.006597,-19,0.798535
178,0.006567,-20,0.797157
179,0.006270,-21,0.796081
180,0.006521,-20,0.794732
181,0.006480,-21,0.793724
182,0.006684,-20,0.792630
183,0.006667,-19,0.791424
184,0.006441,-21,0.790437
185,0.006642,-20,0.789261
186,0.006466,-19,0.787914
187,0.006507,-19,0.786787
188,0.006673,-19,0.785300
189,0.006468,-19,0.783941
190,0.006037,-20,0.782787
191,0.006760,-20,0.781547
192,0.006614,-19,0.780159
193,0.005908,-20,0.778863
194,0.006395,-20,0.777778
195,0.006258,-21,0.776610
196,0.006738,-20,0.775400
