episode 1 took 1190 iterations, avg loss = 0.121612, sum_reward = -21, curr_eps = 0.998930, len(experience) = 1186
episode 2 took 1276 iterations, avg loss = 0.123451, sum_reward = -20, curr_eps = 0.997781, len(experience) = 2458
episode 3 took 1494 iterations, avg loss = 0.122705, sum_reward = -18, curr_eps = 0.996437, len(experience) = 3948
episode 4 took 1140 iterations, avg loss = 0.123631, sum_reward = -21, curr_eps = 0.995411, len(experience) = 5084
episode 5 took 1511 iterations, avg loss = 0.121693, sum_reward = -19, curr_eps = 0.994051, len(experience) = 6591
episode 6 took 1192 iterations, avg loss = 0.121376, sum_reward = -21, curr_eps = 0.992978, len(experience) = 7779
episode 7 took 1096 iterations, avg loss = 0.121681, sum_reward = -21, curr_eps = 0.991992, len(experience) = 8871
episode 8 took 1319 iterations, avg loss = 0.120818, sum_reward = -20, curr_eps = 0.990805, len(experience) = 10186
episode 9 took 1526 iterations, avg loss = 0.119110, sum_reward = -20, curr_eps = 0.989431, len(experience) = 11708
episode 10 took 1088 iterations, avg loss = 0.118450, sum_reward = -21, curr_eps = 0.988452, len(experience) = 12792
episode 11 took 1091 iterations, avg loss = 0.117712, sum_reward = -21, curr_eps = 0.987470, len(experience) = 13879
episode 12 took 1098 iterations, avg loss = 0.117736, sum_reward = -21, curr_eps = 0.986482, len(experience) = 14973
episode 13 took 1281 iterations, avg loss = 0.117773, sum_reward = -21, curr_eps = 0.985329, len(experience) = 16250
episode 14 took 1187 iterations, avg loss = 0.116772, sum_reward = -21, curr_eps = 0.984261, len(experience) = 17433
episode 15 took 1115 iterations, avg loss = 0.116782, sum_reward = -21, curr_eps = 0.983257, len(experience) = 18544
episode 16 took 1231 iterations, avg loss = 0.117008, sum_reward = -20, curr_eps = 0.982149, len(experience) = 19771
episode 17 took 1177 iterations, avg loss = 0.116552, sum_reward = -21, curr_eps = 0.981090, len(experience) = 20944
episode 18 took 1060 iterations, avg loss = 0.115836, sum_reward = -21, curr_eps = 0.980136, len(experience) = 22000
episode 19 took 1348 iterations, avg loss = 0.116238, sum_reward = -20, curr_eps = 0.978923, len(experience) = 23344
episode 20 took 1179 iterations, avg loss = 0.115759, sum_reward = -21, curr_eps = 0.977862, len(experience) = 24519
episode 21 took 1286 iterations, avg loss = 0.116145, sum_reward = -20, curr_eps = 0.976704, len(experience) = 25801
episode 22 took 1204 iterations, avg loss = 0.115486, sum_reward = -20, curr_eps = 0.975621, len(experience) = 27001
episode 23 took 1206 iterations, avg loss = 0.116621, sum_reward = -20, curr_eps = 0.974535, len(experience) = 28203
episode 24 took 1402 iterations, avg loss = 0.115804, sum_reward = -19, curr_eps = 0.973274, len(experience) = 29601
episode 25 took 1194 iterations, avg loss = 0.116288, sum_reward = -21, curr_eps = 0.972199, len(experience) = 30791
episode 26 took 1322 iterations, avg loss = 0.115820, sum_reward = -20, curr_eps = 0.971009, len(experience) = 32109
