episode,num_iters,loss,sum_rewards,curr_eps,time
1,1338,0.014888,-19,0.998797,1334,37.118113
2,1129,0.016351,-21,0.997781,2459,67.344486
3,1366,0.015519,-20,0.996551,3821,106.581917
4,1176,0.015690,-21,0.995493,4993,140.859123
5,1259,0.015397,-21,0.994360,6248,186.910353
6,1170,0.014766,-21,0.993307,7414,220.698517
7,1504,0.014219,-20,0.991953,8914,264.584669
8,1217,0.014669,-20,0.990858,10127,298.207455
9,1445,0.013257,-18,0.989557,11568,341.045220
10,1177,0.013826,-21,0.988498,12741,374.096343
11,1173,0.014054,-21,0.987442,13910,408.714982
12,1184,0.014208,-21,0.986377,15090,443.231685
13,1275,0.014069,-20,0.985229,16361,482.247198
14,1321,0.014175,-20,0.984040,17678,522.089551
15,1291,0.013221,-20,0.982878,18965,559.905870
16,1234,0.013508,-20,0.981768,20195,595.314115
17,1425,0.012130,-18,0.980485,21616,636.972130
18,1102,0.011083,-21,0.979494,22714,673.429836
19,1301,0.010898,-20,0.978323,24011,711.111055
20,1155,0.011051,-20,0.977283,25162,759.239566
21,1443,0.010220,-20,0.975984,26601,804.442957
22,1081,0.010432,-21,0.975012,27678,835.607081
23,1085,0.009475,-21,0.974035,28759,871.110648
24,1033,0.010057,-21,0.973105,29788,901.363884
25,1229,0.010834,-20,0.971999,31013,939.199013
26,1289,0.010266,-20,0.970839,32298,978.001420
27,1267,0.009963,-20,0.969699,33561,1015.708098
28,1016,0.009971,-21,0.968784,34573,1049.132620
29,1318,0.010385,-20,0.967598,35887,1089.649742
30,1448,0.010365,-20,0.966295,37331,1134.380852
31,1535,0.009967,-19,0.964913,38862,1184.865709
32,1211,0.009711,-21,0.963824,40069,1221.540112
33,1174,0.009426,-21,0.962767,41239,1257.756951
34,1167,0.010013,-20,0.961717,42402,1294.185500
35,1483,0.008994,-18,0.960382,43881,1342.512127
36,1244,0.008999,-21,0.959262,45121,1383.473130
37,1253,0.009111,-21,0.958135,46370,1427.558708
38,1106,0.009252,-21,0.957139,47472,1465.208347
39,1260,0.009509,-21,0.956005,48728,1506.178843
40,1419,0.009655,-20,0.954728,50143,1551.887700
41,1222,0.008541,-21,0.953628,51361,1597.628931
42,1244,0.008645,-19,0.952509,52601,1645.980033
43,1401,0.009560,-20,0.951248,53998,1694.289152
44,1163,0.008260,-21,0.950201,55157,1732.571931
45,1259,0.009221,-20,0.949068,56412,1774.720640
46,1113,0.009475,-21,0.948066,57521,1812.701786
47,1133,0.008533,-21,0.947047,58650,1859.385570
48,1536,0.008237,-18,0.945664,60182,1916.888075
49,1399,0.008567,-19,0.944405,61577,1965.904310
50,1042,0.008982,-21,0.943467,62615,2004.550618
51,1245,0.008534,-19,0.942347,63856,2051.849481
52,1352,0.008595,-20,0.941130,65204,2106.582847
53,1280,0.008651,-20,0.939978,66480,2149.741414
54,1361,0.008401,-20,0.938753,67837,2200.215033
55,1165,0.008360,-21,0.937705,68998,2251.953299
56,1172,0.007528,-21,0.936650,70166,2295.922474
57,1371,0.008196,-20,0.935416,71533,2341.735427
58,1210,0.008380,-20,0.934327,72739,2383.795794
59,1337,0.008219,-20,0.933124,74072,2432.525054
60,1338,0.008102,-20,0.931920,75406,2483.428209
61,1232,0.008829,-19,0.930811,76634,2527.796739
62,1292,0.008034,-21,0.929648,77922,2573.349647
63,1018,0.008518,-21,0.928732,78936,2613.409602
64,1221,0.008296,-20,0.927633,80153,2659.799013
65,1325,0.007982,-19,0.926440,81474,2710.719555
66,1216,0.008265,-21,0.925346,82686,2756.655940
67,1243,0.008441,-21,0.924227,83925,2808.403738
68,1007,0.007348,-21,0.923321,84928,2860.603040
69,1334,0.007724,-20,0.922120,86258,2930.511955
70,1133,0.008124,-20,0.921101,87387,2974.602286
71,1320,0.008155,-20,0.919913,88703,3025.333709
72,1099,0.007100,-21,0.918924,89798,3066.701886
73,1012,0.008514,-21,0.918013,90806,3108.147620
74,1506,0.007806,-19,0.916657,92308,3166.792322
75,1207,0.007117,-20,0.915571,93511,3212.593586
76,1012,0.007910,-21,0.914660,94519,3253.750707
77,1096,0.008052,-21,0.913674,95611,3297.134111
78,1174,0.007975,-21,0.912617,96781,3344.043601
79,1086,0.007828,-21,0.911640,97863,3385.622555
80,1393,0.007523,-19,0.910386,99252,3439.754738
81,1304,0.007581,-20,0.909212,100552,3492.653770
82,1244,0.007454,-21,0.908093,101792,3540.914588
83,1201,0.007353,-20,0.907012,102989,3590.070475
84,1539,0.007628,-19,0.905627,104524,3651.047384
85,1509,0.007544,-18,0.904269,106029,3713.697713
86,1239,0.007430,-20,0.903154,107264,3762.763315
87,1228,0.007762,-20,0.902049,108488,3811.834581
88,1352,0.007348,-19,0.900832,109836,3873.688050
89,1091,0.007455,-21,0.899850,110923,3921.427137
90,1766,0.007005,-18,0.898260,112685,4001.854707
91,1177,0.007115,-20,0.897201,113858,4052.433121
92,1292,0.008184,-20,0.896038,115146,4107.468542
93,1268,0.007042,-21,0.894897,116410,4161.458917
94,1187,0.007237,-21,0.893829,117593,4210.791061
95,1144,0.007791,-21,0.892799,118733,4258.358250
96,1121,0.007815,-20,0.891790,119850,4306.578562
97,1416,0.007569,-20,0.890516,121262,4367.852639
98,1240,0.007107,-21,0.889400,122498,4422.296480
99,1252,0.006727,-20,0.888273,123746,4474.500965
100,1177,0.006986,-20,0.887214,124919,4527.610571
101,1129,0.007210,-21,0.886198,126044,4583.442350
102,1255,0.007450,-20,0.885068,127295,4638.965633
103,1238,0.007299,-19,0.883954,128529,4693.390256
104,1191,0.007692,-20,0.882882,129716,4747.139205
105,1097,0.007271,-21,0.881895,130809,4797.607677
106,1056,0.006976,-21,0.880944,131861,4844.179223
107,1084,0.007430,-21,0.879969,132941,4890.029933
108,1254,0.007034,-21,0.878840,134191,4946.692805
109,1055,0.007494,-21,0.877891,135242,4993.603117
110,1535,0.007172,-19,0.876509,136773,5060.723457
111,1053,0.006918,-21,0.875561,137822,5110.490919
112,1056,0.007357,-21,0.874611,138874,5156.909121
113,1132,0.007330,-21,0.873592,140002,5209.417627
