episode,num_iters,loss,sum_rewards,curr_eps,time
1,1228,0.012561,-20,0.998896,1224,22.361035
2,1115,0.018323,-21,0.997892,2335,43.391835
3,1153,0.017456,-21,0.996854,3484,65.216574
4,1135,0.017408,-21,0.995833,4615,87.191520
5,1448,0.016085,-19,0.994530,6059,114.940293
6,1273,0.015700,-19,0.993384,7328,139.478198
7,1130,0.015447,-21,0.992367,8454,161.368765
8,1048,0.014168,-21,0.991424,9498,182.501830
9,1112,0.013871,-20,0.990423,10606,204.739015
10,1306,0.012137,-19,0.989248,11908,230.525656
11,1003,0.011400,-21,0.988345,12907,251.418428
12,1204,0.011332,-21,0.987261,14107,277.081073
13,1093,0.011153,-21,0.986278,15196,299.107105
14,1129,0.010208,-21,0.985262,16321,322.984655
15,1165,0.010884,-20,0.984213,17482,346.816037
16,1179,0.010318,-21,0.983152,18657,371.280521
17,1195,0.010082,-21,0.982077,19848,396.169416
18,1135,0.010939,-21,0.981055,20979,419.897832
19,1212,0.010287,-20,0.979964,22187,445.392865
20,1301,0.009464,-19,0.978793,23484,473.440207
21,1360,0.010072,-18,0.977569,24840,502.591314
22,1196,0.009731,-20,0.976493,26032,528.433745
23,1038,0.009720,-21,0.975559,27066,550.906918
24,1217,0.009395,-20,0.974463,28279,577.741404
25,1279,0.009286,-20,0.973312,29554,606.223336
26,1395,0.010005,-20,0.972057,30945,637.031334
27,1246,0.008527,-21,0.970935,32187,665.572992
28,1196,0.008967,-21,0.969859,33379,692.584381
29,1087,0.008613,-21,0.968881,34462,718.304832
30,1367,0.008550,-20,0.967650,35825,749.475247
31,1314,0.008771,-20,0.966468,37135,779.737710
32,1137,0.008304,-21,0.965445,38268,806.256417
33,1222,0.008808,-20,0.964345,39486,834.918537
34,1177,0.009005,-21,0.963285,40659,862.998592
35,1129,0.008621,-21,0.962269,41784,890.930991
36,1124,0.008955,-20,0.961258,42904,918.559300
37,1300,0.008604,-21,0.960088,44200,950.030539
38,1243,0.008644,-21,0.958969,45439,980.857761
39,1182,0.008250,-20,0.957905,46617,1009.971573
40,1101,0.008331,-21,0.956914,47714,1037.268516
41,1187,0.008699,-21,0.955846,48897,1066.852708
42,1169,0.008540,-21,0.954794,50062,1096.299826
43,1223,0.008915,-21,0.953693,51281,1127.433298
44,1320,0.008843,-20,0.952505,52597,1161.152577
45,1406,0.008753,-21,0.951240,53999,1198.110299
46,1543,0.008414,-17,0.949851,55538,1238.062284
47,1062,0.008983,-21,0.948895,56596,1265.942566
48,1304,0.008122,-21,0.947722,57896,1301.501525
49,1283,0.008277,-20,0.946567,59175,1335.670130
50,1085,0.008735,-21,0.945591,60256,1364.723433
51,1222,0.008813,-20,0.944491,61474,1397.502803
52,1183,0.008687,-21,0.943426,62653,1429.484115
53,1114,0.008661,-20,0.942423,63763,1459.765046
54,1199,0.009230,-21,0.941344,64958,1492.646938
55,1319,0.008373,-20,0.940157,66273,1529.484955
56,1204,0.008742,-20,0.939074,67473,1563.108043
57,1229,0.009178,-20,0.937967,68698,1598.138665
58,1267,0.008510,-20,0.936827,69961,1633.997992
59,1479,0.009327,-19,0.935496,71436,1676.387392
60,1295,0.009015,-20,0.934331,72727,1713.675689
61,1009,0.008226,-21,0.933423,73732,1743.978732
62,1126,0.008273,-21,0.932409,74854,1777.620991
63,1337,0.008768,-20,0.931206,76187,1817.627480
64,1082,0.008811,-21,0.930232,77265,1849.733760
65,1349,0.008083,-19,0.929018,78610,1889.955029
66,1199,0.008624,-20,0.927939,79805,1925.904129
67,1124,0.009167,-21,0.926927,80925,1959.829911
68,1108,0.008703,-21,0.925930,82029,1994.386215
69,1274,0.008382,-20,0.924783,83299,2035.178410
70,1193,0.009114,-20,0.923710,84488,2073.824701
71,1316,0.008823,-20,0.922525,85800,2116.703819
72,1379,0.008476,-19,0.921284,87175,2161.991268
73,1364,0.008473,-20,0.920057,88535,2205.744252
74,1356,0.008984,-19,0.918836,89887,2248.972831
75,1401,0.008700,-20,0.917575,91284,2293.781967
76,1184,0.008366,-20,0.916510,92464,2332.057039
77,1326,0.008523,-19,0.915316,93786,2375.249341
78,1259,0.008302,-19,0.914183,95041,2416.314404
79,1119,0.008027,-21,0.913176,96156,2453.084943
80,1326,0.008504,-20,0.911983,97478,2497.005340
81,1214,0.008674,-20,0.910890,98688,2537.519439
82,1400,0.008418,-19,0.909630,100084,2584.510478
83,1212,0.008299,-20,0.908539,101292,2625.583831
84,1370,0.008348,-20,0.907306,102658,2672.165143
85,1119,0.008418,-21,0.906299,103773,2710.608099
86,1151,0.008749,-21,0.905263,104920,2751.028560
87,1242,0.008474,-20,0.904146,106158,2794.108334
88,1382,0.008219,-20,0.902902,107536,2843.171375
89,1127,0.008637,-21,0.901887,108659,2882.826019
90,1178,0.008369,-21,0.900827,109833,2924.737997
91,1223,0.008682,-20,0.899726,111052,2969.129803
92,1071,0.009019,-21,0.898763,112119,3007.489845
93,1441,0.008644,-19,0.897466,113556,3059.287902
94,1355,0.008175,-20,0.896246,114907,3109.136429
95,1408,0.008165,-19,0.894979,116311,3161.237620
96,1052,0.009050,-21,0.894032,117359,3200.117569
97,1239,0.008585,-19,0.892917,118594,3245.907121
98,1054,0.008598,-21,0.891968,119644,3284.992323
99,1325,0.008498,-21,0.890776,120965,3334.509792
100,1284,0.009011,-20,0.889620,122245,3382.785117
101,1099,0.008455,-21,0.888631,123340,3424.331153
102,1045,0.008455,-21,0.887691,124381,3464.261883
103,1168,0.008294,-21,0.886640,125545,3508.864392
104,1527,0.009190,-18,0.885265,127068,3568.478741
105,1221,0.008286,-20,0.884166,128285,3615.800028
106,1122,0.008589,-20,0.883157,129403,3659.350069
107,1132,0.008720,-20,0.882138,130531,3703.728055
108,1268,0.008854,-20,0.880997,131795,3753.752687
109,1196,0.008293,-21,0.879920,132987,3801.333813
110,1031,0.008188,-21,0.878992,134014,3842.484899
111,1499,0.008417,-20,0.877643,135509,3902.632361
112,1251,0.008726,-20,0.876517,136756,3953.357647
113,1747,0.008372,-18,0.874945,138499,4024.712259
114,1256,0.008468,-20,0.873815,139751,4076.681240
115,1118,0.008824,-21,0.872808,140865,4123.031968
116,1254,0.009452,-20,0.871680,142115,4175.177230
117,1173,0.008803,-21,0.870624,143284,4224.282912
118,1189,0.008582,-21,0.869554,144469,4274.304090
119,1102,0.008637,-21,0.868562,145567,4321.099630
120,1130,0.008843,-21,0.867545,146693,4369.367893
121,1561,0.008303,-18,0.866140,148250,4436.492076
122,1296,0.008444,-19,0.864974,149542,4492.638670
123,1128,0.009232,-21,0.863959,150666,4541.826459
124,1328,0.009294,-20,0.862764,151990,4600.079071
125,1285,0.008286,-21,0.861607,153271,4656.801196
126,1197,0.008516,-21,0.860530,154464,4710.131475
127,1092,0.008065,-21,0.859547,155552,4759.125710
128,1140,0.008294,-21,0.858521,156688,4810.451143
129,1199,0.008671,-21,0.857442,157883,4864.780670
130,1390,0.008233,-20,0.856191,159269,4928.412246
131,1314,0.008608,-20,0.855008,160579,4989.031655
132,1224,0.008548,-21,0.853907,161799,5045.649287
133,1333,0.008873,-21,0.852707,163128,5107.655588
134,1067,0.008279,-21,0.851747,164191,5157.608069
135,1171,0.008287,-20,0.850693,165358,5213.000551
136,1125,0.007714,-20,0.849680,166479,5266.429540
137,1181,0.008360,-21,0.848617,167656,5322.919402
138,1084,0.008201,-21,0.847642,168736,5376.103832
139,1091,0.008437,-21,0.846660,169823,5428.810021
140,1378,0.008210,-19,0.845420,171197,5495.744901
141,1169,0.008442,-21,0.844367,172362,5553.204639
142,1228,0.008338,-20,0.843262,173586,5613.725527
143,1444,0.008184,-19,0.841963,175026,5685.165997
144,1305,0.008189,-20,0.840788,176327,5750.075257
145,1178,0.008177,-21,0.839728,177501,5809.124589
146,1411,0.008203,-20,0.838458,178908,5880.229378
147,1129,0.008292,-21,0.837442,180033,5937.725639
148,1228,0.008186,-21,0.836337,181257,6000.563625
149,1144,0.008180,-21,0.835307,182397,6059.465589
150,1199,0.008429,-20,0.834228,183592,6121.619361
151,1143,0.007826,-21,0.833199,184731,6181.226595
152,1182,0.008237,-20,0.832136,185909,6243.629896
153,1058,0.007748,-21,0.831183,186963,6301.331589
154,1417,0.007814,-19,0.829908,188376,6378.974963
155,1198,0.008986,-20,0.828830,189570,6443.273165
156,1235,0.008500,-20,0.827718,190801,6509.814158
157,1424,0.008485,-19,0.826437,192221,6586.907196
158,1310,0.008219,-21,0.825258,193527,6658.750590
159,1311,0.008011,-20,0.824078,194834,6730.955265
160,1133,0.007846,-21,0.823058,195963,6793.423753
161,1098,0.008064,-21,0.822070,197057,6854.340023
162,1061,0.008005,-21,0.821115,198114,6913.778746
163,1262,0.008535,-21,0.819979,199372,6984.717801
164,1580,0.008061,-19,0.818557,200000,7073.977083
165,1360,0.008135,-21,0.817333,200000,7152.078653
166,1238,0.007888,-21,0.816219,200000,7222.293069
167,1100,0.007923,-21,0.815229,200000,7284.469338
168,1271,0.007654,-20,0.814085,200000,7356.486121
169,1523,0.007793,-19,0.812715,200000,7442.580781
170,1070,0.007251,-21,0.811751,200000,7503.566150
171,1289,0.007929,-20,0.810591,200000,7576.500779
172,1262,0.007836,-20,0.809456,200000,7648.147711
173,1555,0.007588,-20,0.808056,200000,7736.161189
174,1390,0.008130,-20,0.806805,200000,7814.744334
175,1364,0.007744,-21,0.805577,200000,7891.952067
176,1211,0.007950,-21,0.804488,200000,7960.535176
177,1296,0.008245,-20,0.803321,200000,8033.838163
178,1266,0.007906,-20,0.802182,200000,8105.583954
179,1338,0.007861,-21,0.800978,200000,8181.338187
180,1325,0.007839,-20,0.799785,200000,8256.167460
181,1180,0.008049,-20,0.798723,200000,8323.066919
182,1128,0.008022,-20,0.797708,200000,8387.021925
183,1332,0.007981,-20,0.796509,200000,8462.583687
184,1806,0.007549,-18,0.794884,200000,8565.041655
185,1546,0.007514,-18,0.793492,200000,8652.436075
186,1391,0.008315,-20,0.792240,200000,8731.086587
187,1112,0.007708,-21,0.791240,200000,8794.098231
188,1167,0.007672,-21,0.790189,200000,8860.178933
189,1042,0.007273,-21,0.789251,200000,8919.348608
190,1321,0.007633,-21,0.788063,200000,8995.424310
191,1154,0.007660,-21,0.787024,200000,9060.871301
192,1756,0.007741,-18,0.785444,200000,9160.745954
193,1121,0.007595,-20,0.784435,200000,9224.500319
194,1439,0.007910,-20,0.783140,200000,9306.080128
195,1163,0.008040,-21,0.782093,200000,9371.840048
196,1049,0.007810,-21,0.781149,200000,9431.103539
197,1545,0.007707,-19,0.779758,200000,9518.902784
198,1261,0.007659,-20,0.778623,200000,9590.380466
199,1601,0.007252,-19,0.777182,200000,9680.958949
200,1201,0.007585,-20,0.776102,200000,9748.931212
201,1369,0.007202,-19,0.774869,200000,9826.547175
202,1186,0.007610,-20,0.773802,200000,9893.864891
203,1156,0.007712,-20,0.772762,200000,9959.375278
204,1393,0.007430,-20,0.771508,200000,10038.272748
205,1279,0.007565,-21,0.770357,200000,10110.959482
206,1127,0.007674,-21,0.769343,200000,10175.483745
207,1362,0.007730,-19,0.768117,200000,10252.700616
208,1131,0.007683,-21,0.767099,200000,10316.924022
209,1269,0.008074,-21,0.765957,200000,10388.855436
210,1223,0.007856,-21,0.764856,200000,10458.119803
211,1240,0.007435,-21,0.763740,200000,10528.450948
212,1322,0.007921,-20,0.762550,200000,10603.386281
213,1358,0.007364,-20,0.761328,200000,10680.483125
214,1342,0.007466,-20,0.760120,200000,10757.611366
215,1835,0.007344,-17,0.758469,200000,10861.674355
216,1273,0.007298,-21,0.757323,200000,10933.781339
217,1503,0.007859,-19,0.755970,200000,11019.085598
218,1313,0.007647,-20,0.754789,200000,11093.457534
219,1232,0.007927,-20,0.753680,200000,11163.276508
220,1441,0.007531,-21,0.752383,200000,11245.158864
221,1337,0.007623,-20,0.751180,200000,11320.921898
222,1136,0.007500,-21,0.750157,200000,11385.434865
223,1506,0.007801,-17,0.748802,200000,11470.949451
224,1475,0.008027,-19,0.747474,200000,11554.734601
225,1323,0.008021,-20,0.746284,200000,11630.084089
226,1265,0.007580,-21,0.745145,200000,11701.982538
227,1129,0.007766,-21,0.744129,200000,11766.139698
228,1318,0.007983,-20,0.742943,200000,11841.002984
229,1992,0.007820,-17,0.741150,200000,11953.913419
230,1460,0.007802,-19,0.739836,200000,12036.784126
231,1579,0.008382,-19,0.738415,200000,12126.477578
232,1393,0.007935,-20,0.737161,200000,12205.670168
233,1305,0.007687,-19,0.735987,200000,12279.889444
234,1261,0.007819,-20,0.734852,200000,12351.561584
235,1597,0.007549,-18,0.733415,200000,12442.214629
236,1440,0.008107,-20,0.732119,200000,12523.864676
237,1316,0.008015,-20,0.730934,200000,12599.794416
238,1214,0.008020,-21,0.729842,200000,12668.745951
239,1505,0.007838,-18,0.728487,200000,12754.040461
240,1159,0.008234,-21,0.727444,200000,12819.959604
241,1118,0.007818,-20,0.726438,200000,12883.459949
242,1280,0.008107,-20,0.725286,200000,12956.015009
243,1609,0.007788,-19,0.723838,200000,13047.401169
244,1196,0.007920,-20,0.722761,200000,13115.698785
245,1506,0.007825,-19,0.721406,200000,13201.172308
246,1429,0.007565,-21,0.720120,200000,13282.552911
247,1257,0.008032,-20,0.718989,200000,13353.990625
248,1339,0.008132,-19,0.717783,200000,13429.887264
249,1261,0.008013,-20,0.716649,200000,13501.504433
250,1428,0.007760,-21,0.715363,200000,13582.551988
251,1494,0.007902,-19,0.714019,200000,13667.399390
252,1402,0.007526,-20,0.712757,200000,13747.108867
253,1514,0.008255,-17,0.711394,200000,13833.031170
254,1239,0.007825,-21,0.710279,200000,13903.331945
255,1607,0.007897,-19,0.708833,200000,13994.595985
256,1398,0.008212,-19,0.707575,200000,14074.131894
257,1490,0.008048,-18,0.706234,200000,14158.928009
258,1385,0.007708,-20,0.704987,200000,14237.608764
259,1524,0.007623,-20,0.703616,200000,14324.260330
260,1647,0.007796,-18,0.702133,200000,14419.192296
261,1519,0.007736,-19,0.700766,200000,14505.413275
262,1257,0.007302,-21,0.699635,200000,14576.845500
263,1508,0.007503,-19,0.698278,200000,14662.403202
264,1250,0.007673,-20,0.697153,200000,14733.475184
265,1656,0.007627,-18,0.695662,200000,14827.308810
266,1468,0.007725,-18,0.694341,200000,14910.550847
267,1358,0.007697,-19,0.693119,200000,14987.674816
268,1461,0.007760,-19,0.691804,200000,15070.751558
269,1209,0.007724,-21,0.690716,200000,15139.439954
270,1276,0.007769,-21,0.689567,200000,15212.099118
271,1370,0.007777,-20,0.688334,200000,15289.996612
272,1409,0.007377,-19,0.687066,200000,15369.914809
273,1471,0.007508,-20,0.685742,200000,15453.337181
274,1285,0.007701,-21,0.684586,200000,15526.392163
275,1491,0.007467,-20,0.683244,200000,15611.091858
276,1222,0.007481,-21,0.682144,200000,15680.523221
277,1239,0.008081,-19,0.681029,200000,15751.004646
278,1470,0.007483,-20,0.679706,200000,15834.474600
279,1407,0.007356,-21,0.678440,200000,15914.445988
280,1639,0.007549,-20,0.676965,200000,16007.572104
281,1461,0.007517,-18,0.675650,200000,16090.968364
282,1439,0.007513,-19,0.674355,200000,16173.852836
283,1571,0.007477,-18,0.672941,200000,16263.034774
284,1566,0.007804,-18,0.671531,200000,16352.101314
285,1187,0.007563,-21,0.670463,200000,16419.689353
286,1420,0.007480,-20,0.669185,200000,16500.544681
287,1528,0.007462,-19,0.667810,200000,16588.076302
288,1203,0.007635,-20,0.666727,200000,16656.894029
289,1163,0.007921,-21,0.665681,200000,16722.970877
290,1459,0.007449,-18,0.664367,200000,16806.077432
291,1088,0.008009,-21,0.663388,200000,16868.097235
292,1234,0.007062,-21,0.662278,200000,16938.486954
293,1932,0.007380,-17,0.660539,200000,17048.345688
294,1163,0.007858,-21,0.659492,200000,17114.622387
295,1377,0.007915,-19,0.658253,200000,17192.923848
296,1125,0.007213,-21,0.657240,200000,17256.952453
297,1094,0.007176,-21,0.656256,200000,17319.186725
298,1252,0.007876,-21,0.655129,200000,17390.488034
299,1360,0.007662,-19,0.653905,200000,17467.900435
300,1356,0.007427,-20,0.652685,200000,17545.035268
301,1476,0.007302,-20,0.651356,200000,17629.393965
302,1500,0.007302,-20,0.650006,200000,17714.741955
303,1385,0.007658,-21,0.648760,200000,17793.607073
304,1772,0.007586,-18,0.647165,200000,17894.869093
305,1597,0.007751,-21,0.645728,200000,17986.744868
306,1221,0.007171,-21,0.644629,200000,18056.307145
307,1297,0.007580,-20,0.643461,200000,18130.230019
308,1348,0.007658,-20,0.642248,200000,18207.121833
309,2053,0.007700,-17,0.640400,200000,18324.140810
310,1337,0.007772,-20,0.639197,200000,18400.341667
311,2018,0.007877,-17,0.637381,200000,18515.268468
312,1579,0.007828,-18,0.635960,200000,18605.239602
313,1426,0.007578,-19,0.634676,200000,18686.176104
314,1172,0.007531,-21,0.633622,200000,18752.895915
315,1238,0.007609,-20,0.632508,200000,18823.539878
316,1534,0.007799,-19,0.631127,200000,18910.827062
317,1310,0.007294,-20,0.629948,200000,18985.541267
318,1257,0.007588,-20,0.628817,200000,19057.132218
319,1387,0.007769,-19,0.627568,200000,19136.303900
320,1360,0.007659,-20,0.626344,200000,19213.852213
321,1747,0.007476,-17,0.624772,200000,19313.644213
322,1469,0.007629,-19,0.623450,200000,19397.436087
323,1375,0.007637,-21,0.622212,200000,19475.812778
324,1422,0.007536,-20,0.620933,200000,19556.924419
325,1287,0.007833,-20,0.619774,200000,19630.250129
326,1254,0.007342,-21,0.618646,200000,19701.814381
327,1142,0.007236,-21,0.617618,200000,19768.036744
328,1358,0.007750,-20,0.616396,200000,19845.740454
329,1209,0.007312,-21,0.615308,200000,19914.731929
330,1325,0.007606,-20,0.614115,200000,19990.162984
331,1224,0.007574,-21,0.613013,200000,20059.951834
332,1098,0.007676,-21,0.612025,200000,20122.613162
333,1486,0.007748,-20,0.610688,200000,20207.314987
334,1383,0.007460,-20,0.609443,200000,20286.079549
335,1690,0.007734,-18,0.607922,200000,20382.331423
336,1411,0.007628,-21,0.606652,200000,20462.772812
337,1445,0.007151,-20,0.605352,200000,20545.052185
338,1403,0.007492,-20,0.604089,200000,20625.011860
339,1335,0.007895,-19,0.602888,200000,20701.216418
340,1700,0.007651,-18,0.601358,200000,20798.392773
341,1777,0.007710,-18,0.599758,200000,20900.001363
342,1226,0.007189,-20,0.598655,200000,20970.157129
343,1521,0.007836,-19,0.597286,200000,21057.057311
344,1429,0.007562,-21,0.596000,200000,21138.837144
345,1702,0.007988,-16,0.594468,200000,21236.093200
346,1362,0.007937,-21,0.593242,200000,21313.799690
347,1335,0.007623,-20,0.592041,200000,21390.302762
348,1440,0.007264,-19,0.590745,200000,21472.698618
349,1311,0.007821,-20,0.589565,200000,21548.722744
350,1610,0.007633,-18,0.588116,200000,21640.728208
351,1400,0.007798,-21,0.586856,200000,21720.942046
352,1320,0.007828,-20,0.585668,200000,21796.663975
353,1576,0.007896,-18,0.584249,200000,21886.841037
354,1639,0.007675,-18,0.582774,200000,21980.684361
355,1601,0.007678,-17,0.581333,200000,22072.149754
356,1444,0.007417,-19,0.580034,200000,22154.854465
357,1431,0.007406,-19,0.578746,200000,22236.565494
358,1382,0.007478,-20,0.577502,200000,22315.464012
359,1379,0.007753,-19,0.576261,200000,22394.156887
360,1304,0.007845,-21,0.575087,200000,22468.769901
361,1379,0.007747,-20,0.573846,200000,22547.941938
362,1098,0.007523,-21,0.572858,200000,22610.752587
363,1788,0.007249,-17,0.571249,200000,22712.874044
364,2087,0.007302,-15,0.569371,200000,22832.279852
365,1731,0.007648,-18,0.567813,200000,22931.485092
366,1480,0.007864,-19,0.566481,200000,23016.208345
367,1208,0.007571,-21,0.565394,200000,23085.401641
368,1964,0.007774,-20,0.563626,200000,23197.953700
369,1399,0.007642,-19,0.562367,200000,23277.994683
370,1413,0.007535,-20,0.561095,200000,23360.454158
371,1808,0.007492,-18,0.559468,200000,23464.365000
372,1322,0.007173,-20,0.558278,200000,23540.475076
373,1061,0.007299,-21,0.557323,200000,23601.742884
374,1262,0.007131,-21,0.556187,200000,23674.431829
375,1284,0.007620,-21,0.555032,200000,23748.405317
376,1543,0.007264,-17,0.553643,200000,23837.396130
377,1747,0.007493,-17,0.552071,200000,23937.961541
378,1731,0.007328,-19,0.550513,200000,24037.739377
379,1736,0.007629,-18,0.548951,200000,24137.731955
380,1331,0.007428,-20,0.547753,200000,24214.355713
381,1197,0.007477,-20,0.546675,200000,24283.395578
382,1416,0.007212,-20,0.545401,200000,24364.971590
383,1215,0.006915,-21,0.544307,200000,24435.115849
384,1290,0.007370,-21,0.543146,200000,24509.374536
385,1284,0.007582,-20,0.541991,200000,24583.254010
386,1432,0.007142,-20,0.540702,200000,24665.486922
387,1699,0.007415,-19,0.539173,200000,24763.224506
388,1489,0.007600,-18,0.537833,200000,24849.737607
389,1103,0.007196,-21,0.536840,200000,24913.265787
390,1336,0.006899,-20,0.535638,200000,24990.088399
391,1111,0.007004,-20,0.534638,200000,25054.020835
392,1492,0.007021,-20,0.533295,200000,25140.995547
393,1659,0.007025,-19,0.531802,200000,25236.773851
394,1518,0.007517,-20,0.530436,200000,25323.984480
395,1163,0.007214,-21,0.529389,200000,25391.049017
396,1362,0.007470,-18,0.528163,200000,25469.658754
397,1340,0.006883,-21,0.526957,200000,25547.063858
398,1347,0.007236,-20,0.525745,200000,25624.683528
399,1291,0.007134,-21,0.524583,200000,25699.027496
400,1434,0.007283,-19,0.523292,200000,25781.625813
401,1145,0.007537,-21,0.522262,200000,25847.816074
402,1134,0.007637,-21,0.521241,200000,25912.992642
403,1474,0.007371,-19,0.519915,200000,25997.717669
404,2060,0.007152,-17,0.518061,200000,26116.405514
405,1321,0.007071,-21,0.516872,200000,26192.502543
406,1632,0.007075,-19,0.515403,200000,26286.484028
407,1373,0.007280,-21,0.514167,200000,26365.596867
408,1317,0.007767,-20,0.512982,200000,26441.375219
409,1379,0.007523,-20,0.511741,200000,26520.877255
410,1104,0.007355,-20,0.510747,200000,26584.493064
411,1875,0.007343,-18,0.509060,200000,26693.089757
412,1484,0.007298,-20,0.507724,200000,26778.681274
413,1667,0.007037,-19,0.506224,200000,26874.627843
414,1118,0.007129,-21,0.505218,200000,26939.987624
415,1260,0.007415,-20,0.504084,200000,27012.812438
416,1546,0.007467,-18,0.502692,200000,27101.956458
417,1510,0.007194,-19,0.501333,200000,27189.166213
418,1185,0.007035,-20,0.500267,200000,27257.639412
419,1808,0.007406,-17,0.498640,200000,27361.791030
420,1247,0.007226,-20,0.497517,200000,27433.520618
421,1666,0.007145,-19,0.496018,200000,27529.477147
422,1769,0.007567,-20,0.494426,200000,27631.431737
423,1876,0.007685,-19,0.492737,200000,27739.488594
424,1843,0.007071,-18,0.491079,200000,27845.739372
425,1470,0.007307,-21,0.489756,200000,27930.403228
426,1633,0.007121,-18,0.488286,200000,28024.402198
427,1626,0.006941,-21,0.486823,200000,28118.242514
428,1945,0.007213,-20,0.485072,200000,28230.334376
429,1250,0.007178,-21,0.483947,200000,28302.419579
430,1606,0.007382,-20,0.482502,200000,28395.064777
431,1599,0.006850,-19,0.481063,200000,28487.128340
432,1747,0.007291,-19,0.479490,200000,28587.838176
433,1599,0.007480,-18,0.478051,200000,28680.193974
434,1941,0.007507,-19,0.476304,200000,28793.276868
435,1496,0.007165,-19,0.474958,200000,28879.367946
436,1557,0.007295,-18,0.473557,200000,28969.087567
437,2155,0.007271,-16,0.471617,200000,29093.284358
438,1834,0.007283,-17,0.469967,200000,29199.115819
439,1595,0.007085,-19,0.468531,200000,29291.857885
440,1624,0.007451,-18,0.467069,200000,29386.107798
441,1431,0.007238,-20,0.465782,200000,29468.655901
442,1570,0.007416,-20,0.464369,200000,29559.350595
443,1577,0.007338,-19,0.462949,200000,29650.712540
444,1353,0.007021,-20,0.461732,200000,29728.917082
445,1622,0.006873,-20,0.460272,200000,29822.609205
446,1593,0.007354,-20,0.458838,200000,29914.781915
