episode,num_iters,loss,sum_rewards,curr_eps,len_experience,time
1,1828,0.017386,-19,0.499269,201824,78.345377
2,2166,0.014651,-18,0.498403,203986,171.988250
3,2207,0.013214,-17,0.497520,206189,270.076624
4,2248,0.012072,-19,0.496621,208433,369.692416
5,2343,0.012292,-18,0.495684,210772,475.253657
6,2271,0.010905,-15,0.494775,213039,579.282564
7,1697,0.010292,-20,0.494096,214732,658.013640
8,1918,0.010268,-17,0.493329,216646,747.550183
9,2060,0.009778,-17,0.492505,218702,845.188924
10,1880,0.010120,-20,0.491753,220578,935.305149
11,2199,0.009984,-19,0.490874,222773,1041.630802
12,2022,0.009363,-20,0.490065,224791,1140.580246
13,2111,0.009127,-16,0.489220,226898,1245.201654
14,1872,0.009268,-19,0.488472,228766,1339.437893
15,2508,0.009426,-15,0.487468,231270,1466.894077
16,2108,0.008719,-18,0.486625,233374,1575.714310
17,1959,0.008549,-19,0.485842,235329,1679.416056
18,2222,0.008695,-19,0.484953,237547,1796.897059
19,1985,0.008529,-18,0.484159,239528,1903.267622
20,1884,0.008911,-19,0.483405,241408,2005.432708
21,1962,0.008685,-17,0.482620,243366,2113.102323
22,1643,0.008956,-19,0.481963,245005,2203.785498
23,2011,0.008466,-17,0.481159,247012,2316.201926
24,2034,0.008214,-16,0.480345,249042,2431.752690
25,1975,0.008689,-17,0.479555,251013,2544.538717
26,2174,0.008811,-17,0.478686,253183,2670.214762
27,2167,0.008574,-17,0.477819,255346,2796.568365
28,2084,0.008336,-16,0.476985,257426,2921.572001
29,2579,0.008571,-15,0.475954,260001,3081.992140
30,1877,0.008831,-18,0.475203,261874,3199.486314
31,1797,0.008230,-18,0.474484,263667,3313.886150
32,2017,0.008264,-15,0.473677,265680,3441.829105
33,1783,0.008047,-18,0.472964,267459,3558.263972
34,2100,0.008518,-16,0.472124,269555,3695.606872
35,2179,0.008192,-16,0.471252,271730,3838.456783
36,2019,0.007994,-18,0.470445,273745,3972.617946
37,1904,0.008052,-19,0.469683,275645,4100.196913
38,2073,0.007751,-15,0.468854,277714,4240.417323
39,2040,0.008078,-19,0.468038,279750,4380.311644
40,1549,0.007819,-20,0.467418,281295,4487.431313
41,2300,0.007356,-15,0.466498,283591,4647.819189
42,1913,0.007249,-16,0.465733,285500,4782.981792
43,2111,0.007457,-17,0.464889,287607,4933.865204
44,1919,0.007360,-16,0.464121,289522,5072.629440
45,1848,0.007693,-19,0.463382,291366,5207.544913
46,1761,0.007493,-19,0.462678,293123,5339.381897
47,2029,0.007602,-17,0.461866,295148,5490.623408
48,1773,0.007549,-18,0.461157,296917,5624.126502
49,2128,0.007595,-18,0.460306,299041,5785.993020
50,2097,0.007679,-17,0.459467,301134,5946.463105
51,2027,0.007487,-17,0.458656,303157,6102.906477
52,2031,0.007291,-16,0.457844,305184,6261.457984
53,2370,0.007351,-13,0.456896,307550,6448.307017
54,2606,0.007165,-16,0.455853,310152,6656.370104
55,1988,0.007294,-18,0.455058,312136,6816.760215
56,2254,0.007094,-19,0.454156,314386,7000.453429
57,1764,0.007077,-18,0.453451,316146,7148.116655
58,2152,0.007286,-16,0.452590,318294,7327.110177
59,1878,0.007186,-16,0.451839,320168,7485.088587
60,1691,0.007267,-19,0.451162,321855,7628.890314
61,2118,0.007194,-19,0.450315,323969,7809.623520
62,2159,0.007166,-18,0.449452,326124,7996.422236
63,2120,0.007011,-19,0.448604,328240,8181.451620
64,1738,0.007140,-19,0.447908,329974,8333.969374
65,1733,0.007429,-18,0.447215,331703,8487.824556
66,1898,0.006861,-19,0.446456,333597,8657.315641
67,2340,0.006820,-14,0.445520,335933,8869.588720
68,2046,0.007052,-20,0.444702,337975,9057.076546
69,2564,0.007253,-17,0.443676,340535,9293.703032
70,2400,0.007194,-18,0.442716,342931,9517.065581
71,1915,0.006990,-20,0.441950,344842,9697.148247
72,1990,0.007518,-17,0.441154,346828,9885.866906
73,2383,0.007150,-15,0.440201,349207,10114.184145
74,1966,0.007163,-18,0.439414,350000,10304.327726
75,1800,0.006920,-20,0.438694,350000,10478.646381
76,2060,0.007018,-19,0.437870,350000,10679.859394
77,2089,0.007108,-20,0.437035,350000,10882.328987
78,2156,0.007275,-16,0.436172,350000,11091.242204
79,2256,0.007009,-16,0.435270,350000,11310.096623
80,2117,0.007032,-18,0.434423,350000,11515.254236
81,1754,0.007296,-18,0.433722,350000,11685.146462
82,1704,0.006714,-19,0.433040,350000,11850.270692
83,2259,0.007173,-18,0.432136,350000,12068.752257
84,2459,0.007035,-16,0.431153,350000,12307.049325
85,2285,0.007114,-16,0.430239,350000,12529.968545
86,1688,0.006866,-19,0.429564,350000,12693.752703
87,2167,0.006966,-19,0.428697,350000,12903.791399
88,2419,0.007148,-13,0.427729,350000,13138.436011
89,1766,0.007599,-19,0.427023,350000,13309.946714
90,2233,0.006387,-18,0.426130,350000,13526.481748
91,2123,0.007094,-18,0.425280,350000,13732.179305
92,2208,0.006960,-19,0.424397,350000,13946.326124
93,1703,0.006790,-20,0.423716,350000,14111.662390
94,1997,0.006937,-18,0.422917,350000,14306.593801
95,2286,0.007143,-15,0.422003,350000,14528.361885
96,2121,0.006680,-16,0.421154,350000,14734.124455
97,2168,0.006889,-19,0.420287,350000,14944.851558
98,2362,0.007095,-17,0.419342,350000,15174.057887
99,2523,0.006890,-16,0.418333,350000,15418.649735
100,1721,0.006803,-19,0.417645,350000,15585.610059
101,2595,0.006928,-17,0.416607,350000,15837.387397
102,2300,0.006795,-18,0.415687,350000,16061.797572
103,3056,0.007037,-14,0.414464,350000,16358.586895
104,1993,0.006959,-18,0.413667,350000,16551.931643
105,1966,0.007013,-18,0.412881,350000,16742.860834
106,2434,0.006981,-15,0.411907,350000,16979.081013
107,2088,0.007070,-19,0.411072,350000,17181.429173
108,2104,0.006810,-18,0.410230,350000,17385.596424
109,2233,0.006937,-15,0.409337,350000,17602.406342
110,2320,0.006862,-15,0.408409,350000,17826.997762
111,2495,0.007022,-15,0.407411,350000,18070.208695
112,2121,0.006894,-17,0.406563,350000,18275.968302
113,2142,0.006754,-18,0.405706,350000,18483.690894
114,1948,0.006671,-18,0.404927,350000,18672.588311
115,2079,0.006714,-18,0.404095,350000,18874.403982
116,1687,0.006982,-20,0.403420,350000,19038.042520
117,2599,0.006594,-17,0.402381,350000,19290.260153
118,1964,0.006597,-19,0.401595,350000,19480.892650
119,2171,0.006612,-18,0.400727,350000,19692.679499
120,1861,0.006826,-19,0.399982,350000,19873.196639
121,2232,0.006840,-18,0.399090,350000,20089.596359
122,2383,0.006781,-17,0.398136,350000,20320.945659
123,2628,0.006608,-12,0.397085,350000,20575.847583
124,2012,0.006607,-18,0.396280,350000,20771.125504
125,2252,0.006487,-16,0.395380,350000,20989.717397
126,2435,0.006590,-16,0.394406,350000,21225.929856
127,1861,0.006583,-18,0.393661,350000,21406.638923
128,1402,0.006311,-19,0.393100,350000,21544.108432
129,1680,0.006516,-21,0.392428,350000,21706.941919
